merger,error_of_value,error_thermal,error_renewable,error_nsp,error_1_to_2,error_1_to_3,error_2_to_1,error_2_to_3,error_3_to_1,error_3_to_2,rel_error_of_value,rel_error_thermal,rel_error_renewable,rel_error_nsp,rel_error_1_to_2,rel_error_1_to_3,rel_error_2_to_1,rel_error_2_to_3,rel_error_3_to_1,rel_error_3_to_2
"['1', '2', '3+4', '5+6', '7', '8']",314192351.42478037,-30555.51618799381,-32449.483812000602,63005.00000000029,0.0,0.0,12772.1310689901,0.0,-75777.13106900023,43327.64725699945,0.34198072290808135,-0.012995383206166666,-0.026430805543873337,0.3670628000300735,0.0,0.0,0.004647045754692325,0.0,-0.09123917174588758,0.10908773567320573
"['1', '2', '3+4', '5+6', '7+8']",383421400.1164825,-37257.32524599321,-39629.483812000835,76886.80905800029,0.0,0.0,43820.32201099023,0.0,-120707.13106900046,81077.64725699945,0.4173326530568171,-0.015845689394660578,-0.03227907064739499,0.44793726558538327,0.0,0.0,0.015943701193674498,0.0,-0.14533697049746586,0.20413240766374996
"['1', '2', '3+4', '5+6+7', '8']",537914093.4247797,-68305.51618799381,-39629.483812000835,107935.00000000017,0.0,0.0,12772.1310689901,0.0,-120707.13106900023,81077.64725699945,0.5854892701800594,-0.0290506091435887,-0.03227907064739499,0.6288218922505494,0.0,0.0,0.004647045754692325,0.0,-0.14533697049746563,0.20413240766374996
"['1', '2', '3+4', '5+6+7+8']",854935537.5381012,-132016.89385099337,-39629.483812000835,171646.37766300014,0.0,0.0,-50939.24659401039,0.0,-120707.13106900034,81077.64725699945,0.9305493015385659,-0.05614731280355878,-0.03227907064739499,1.0,0.0,0.0,-0.01853386943441704,0.0,-0.14533697049746586,0.20413240766374996
"['1', '2', '3+4', '5+6+8', '7']",785706488.8463991,-125315.08479299396,-32449.483812000835,157764.56860500015,0.0,0.0,-81987.43753601005,0.0,-75777.13106900034,43327.64725699945,0.8551973713898302,-0.05329700661506509,-0.026430805543873337,0.9191255344446903,0.0,0.0,-0.02983052487339899,0.0,-0.0912391717458878,0.10908773567320573
"['1', '2', '3+4', '5+7', '6', '8']",829533.4247794151,39629.48381200619,-39629.4838120006,8.731149137020111e-11,0.0,0.0,12772.1310689901,0.0,-12772.131069000228,-26857.35274300055,0.0009029005289149516,0.01685457791748779,-0.03227907064739477,5.551115123125783e-16,0.0,0.0,0.004647045754692325,0.0,-0.015378236728234018,-0.0676198220395452
"['1', '2', '3+4', '5+7', '6+8']",595360872.2585562,-79852.6880229935,-39629.483812000835,119482.17183500019,0.0,0.0,-106710.04076601053,0.0,-12772.131069000345,-26857.35274300055,0.6480168615272945,-0.03396166749455953,-0.03227907064739499,0.6960949217907999,0.0,0.0,-0.038825661845008685,0.0,-0.015378236728234018,-0.0676198220395452
"['1', '2', '3+4', '5+7+8', '6']",260404198.70432436,-12534.72201599367,-39629.483812000835,52164.20582800005,0.0,0.0,68542.92524099024,0.0,-120707.13106900034,81077.64725699945,0.2834353405401864,-0.005331067391511457,-0.03227907064739499,0.30390507820920065,0.0,0.0,0.024938838165284083,0.0,-0.14533697049746586,0.20413240766374996
"['1', '2', '3+4', '5+8', '6', '7']",191175150.01262224,-5832.912957993336,-32449.483812000835,38282.39677000005,0.0,0.0,37494.73429898964,0.0,-75777.13106900034,43327.64725699945,0.20808341039145062,-0.002480761203017101,-0.026430805543873337,0.2230306126538909,0.0,0.0,0.013642182726301688,0.0,-0.0912391717458878,0.10908773567320573
"['1', '2', '3+4', '5+8', '6+7']",414896892.01262236,-43582.912957993336,-39629.483812000835,83212.3967700001,0.0,0.0,37494.73429898964,0.0,-120707.13106900034,81077.64725699945,0.4515919576634295,-0.018535987140439136,-0.03227907064739499,0.4847897048743677,0.0,0.0,0.013642182726301688,0.0,-0.14533697049746586,0.20413240766374996
"['1', '2', '3+4+5', '6', '7', '8']",191375396.84029353,4049.734299006406,-42332.13106900058,38282.39677000005,0.0,0.0,-25510.265701010358,0.0,-12772.131069000228,-29560.000000000524,0.20830136781331832,0.0017223681895913723,-0.03448043522124444,0.2230306126538909,0.0,0.0,-0.009281722156358141,0.0,-0.015378236728234018,-0.07442438421299435
"['1', '2', '3+4+5', '6', '7+8']",260604445.53199565,-2652.0747589934617,-49512.13106900081,52164.20582800005,0.0,0.0,5537.92524099024,0.0,-57702.13106900046,8189.999999999476,0.28365329796205396,-0.0011279379989026506,-0.04032870032476632,0.30390507820920065,0.0,0.0,0.002014933282624254,0.0,-0.06947603547981229,0.020620287777549873
"['1', '2', '3+4+5', '6+7', '8']",415097138.84029365,-33700.265700993594,-49512.13106900058,83212.3967700001,0.0,0.0,-25510.265701010358,0.0,-57702.13106900023,8189.999999999476,0.4518099150852971,-0.014332857747830552,-0.0403287003247661,0.4847897048743677,0.0,0.0,-0.009281722156358141,0.0,-0.06947603547981207,0.020620287777549873
"['1', '2', '3+4+5', '6+7+8']",855135784.3657725,-122134.24659399316,-49512.13106900104,171646.37766300014,0.0,0.0,-113944.24659400946,0.0,-57702.13106900058,8189.999999999476,0.9307672589604336,-0.05194418341094997,-0.04032870032476632,1.0,0.0,0.0,-0.041457774317076534,0.0,-0.06947603547981251,0.020620287777549873
"['1', '2', '3+4+5', '6+8', '7']",785906735.6740704,-115432.43753599375,-42332.13106900081,157764.56860500015,0.0,0.0,-144992.43753601005,0.0,-12772.131069000345,-29560.000000000524,0.8554153288116978,-0.049093877222456284,-0.034480435221244665,0.9191255344446903,0.0,0.0,-0.05275442975605893,0.0,-0.015378236728234018,-0.07442438421299435
"['1', '2', '3+4+5+6', '7', '8']",785919558.1740704,-115432.43753599375,-42332.13106900058,157764.56860500015,0.0,0.0,-16767.437536010053,0.0,-140997.13106900023,98664.99999999953,0.8554292853825679,-0.049093877222456284,-0.03448043522124444,0.9191255344446903,0.0,0.0,-0.006100708566009638,0.0,-0.16976706924372698,0.2484127830979339
